,skill,count
0,python,3868
1,sql,1475
2,r,1287
3,sas,573
4,java,557
5,matlab,438
6,shell,315
7,vba,220
8,kdb,142
9,go,121
10,rust,27
11,scala,26
12,c++,24
13,bash,22
14,julia,16
15,perl,1
16,c#,0
